DATA,EXCEPTION,time,pitch,roll,yaw,airspeed,displayedAltitude,pressureAltitude,turnRate,verticalSpeed,lateralAcceleration,verticalAcceleration,angleOfAttack,
03033438+018+00063000000+0051-016+01+1099FA4AD901B9,ok,11014593,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-1.6,0.01,1.0,0.98999995,
03033439+019+00063000000+0051-016+01+1099FA4AD901BB,ok,11014609,1.9,0.6,300.0,0.0,NaN,51.0,NaN,-1.6,0.01,1.0,0.98999995,
03033440+019+00063000000+0096+000+01+1099FA49FE01B9,ok,11014625,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033441+019+00063000000+0096+000+01+1099FA49FE01BA,ok,11014640,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033442+019+00063000000+0096+000+01+1099FA49FE01BB,ok,11014656,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033443+019+00063000000+0096+000+01+1099FA49FE01BC,ok,11014671,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033444+019+00063000000+0096+000+01+1099FA49FE01BD,ok,11014687,1.9,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033445+019+00063000000+0051-015+01+1099FA4AD901B7,ok,11014703,1.9,0.6,300.0,0.0,NaN,51.0,NaN,-1.5,0.01,1.0,0.98999995,
03033446+019+00063000000+0051-015+01+1099FA4AD901B8,ok,11014718,1.9,0.6,300.0,0.0,NaN,51.0,NaN,-1.5,0.01,1.0,0.98999995,
03033447+019+00063000000+0051-016+01+1099FA4AD901BA,ok,11014734,1.9,0.6,300.0,0.0,NaN,51.0,NaN,-1.6,0.01,1.0,0.98999995,
03033448+019+00063000000+0051-016+01+1099FA4AD901BB,ok,11014750,1.9,0.6,300.0,0.0,NaN,51.0,NaN,-1.6,0.01,1.0,0.98999995,
